acronym	count	suggested_action	proposed_spoken	YOUR_ACTION	YOUR_SPOKEN	context_1
AI	67322	SPELL				Chào Anh, tôi là Meddies, một trợ lý AI được thiết kế để giúp anh trình bày rõ ràng các vấn đề sức khỏe của mình.
MRI	6860	SPELL				được: - Thăm khám trực tiếp, test vận động - Bác sĩ sẽ quyết định có cần chụp X-quang hay MRI không - X-quang giúp xem xương và khe khớp, MRI đánh giá sụn, gân,
ECG	2970	SPELL				sẽ cần làm một số xét nghiệm để loại trừ các nguyên nhân nguy hiểm như: - **Điện tâm đồ (ECG)**: Kiểm tra nhịp tim và hoạt động điện.
CCCD	2677	EXPAND	căn cước công dân			Khi đi khám, bác chỉ cần: - Mang theo CCCD hoặc giấy tờ tùy thân để đăng ký khám - Nhớ mang theo thẻ bảo hiểm y tế nếu có - Ghi lại các triệu chứng bác
BHYT	2482	EXPAND	bảo hiểm y tế			m máu cơ bản sẽ hợp lý hơn nhiều so với phòng khám tư nhân, và nếu em có **Bảo hiểm y tế (BHYT)** thì sẽ được chi trả một phần hoặc toàn bộ tùy tuyến khám.
CMND	2462	EXPAND	chứng minh nhân dân			**Chuẩn bị trước khi đi khám**: - Mang theo CMND/CCCD và tiền mặt.
CT	2299	SPELL				g gan thận - **Siêu âm hạch**: Đánh giá kích thước, cấu trúc hạch (dịch hay đặc) - **Chụp CT hoặc PET-CT**: Nếu hạch to hoặc nghi ngờ ác tính - **Sinh thiết hạc
TV	2036	SPELL				từ từ duỗi thẳng một chân ra, giữ 5-10 giây - Lặp lại 10 lần mỗi bên - Có thể làm khi xem TV hoặc ngồi nghỉ **Bài tập 3: Đi bộ nhẹ nhàng** - Đi bộ 15-20 phút mỗ
FIFE	1975	STRIP				- FIFE: Khó ăn uống, ngại vệ sinh.
NGAY	1879	LOWERCASE	ngay			KHI NÀO CẦN DỪNG TẬP VÀ ĐI KHÁM NGAY?** Nếu trong hoặc sau khi tập mà anh thấy: - Đầu gối sưng to, nóng, đỏ, hoặc sốt.
B12	1556	SPELL				Nhưng trước tiên, anh có biết gì về tình trạng thiếu vitamin B12 không?
GERD	1526	SPELL				- Differentials: Có thể do trào ngược dạ dày thực quản (GERD), tác dụng phụ thuốc (dù Amlodipine ít), hoặc do thay đổi huyết áp/thần kinh ban đêm.
TSH	1434	SPELL				ssibility* of autoimmune conditions and the need for specific blood tests (CBC, Cortisol, TSH, Antibodies).
QUAN	1357	LOWERCASE	quan			**NHẮN NHỦ QUAN TRỌNG**: - Tất cả thông tin trên là chung chung, không phải đơn thuốc - Anh PHẢI đi khám bác sĩ để được chẩn
SPF	1225	SPELL				Dù làm văn phòng, anh vẫn nên dùng kem chống nắng SPF 30+ mỗi sáng.
T4	1012	SPELL				- **TSH, Free T4** (để kiểm tra tuyến giáp).
BHA	913	SPELL				m Sóc Tăng Cường (Tối - Tuần 2-3 lần)** - **Tẩy tế bào chết nhẹ**: Dùng sản phẩm chứa AHA/BHA 1-2 lần/tuần để loại bỏ da cũ, giúp da sáng hơn.
UV	750	SPELL				độ tuổi của bác, nếp nhăn và da khô là do quá trình lão hóa tự nhiên và tác động của tia UV.
BPPV	742	SPELL				**Anh có biết gì về chứng chóng mặt tư thế (BPPV) hoặc rối loạn tiền đình không?** **Tôi xin chia sẻ một số khả năng**: Triệu chứng của anh rất giống với tình
LEGO	729	SPELL				Con cũng muốn được vẽ tranh và chơi LEGO như bình thường ạ.
COPD	722	SPELL				- Hô hấp: Hen suyễn, COPD, tràn dịch màng phổi...
IBS	721	SPELL				**Hội chứng ruột kích thích (IBS):** Đây là tình trạng ruột bị nhạy cảm quá mức, thường gây đau bụng, táo bón hoặc tiêu chảy.
AN	697	LOWERCASE	an			dưỡng ẩm cả mặt (nhiều hơn vùng má) - Điều chỉnh thói quen nhíu mày, ngủ đủ giấc **LƯU Ý AN TOÀN**: Nếu anh áp dụng đều đặn 4-6 tuần mà tình trạng nếp nhăn, khô
KHI	624	LOWERCASE	khi			KHI NÀO CẦN DỪNG TẬP VÀ ĐI KHÁM NGAY?** Nếu trong hoặc sau khi tập mà anh thấy: - Đầu gối sưng to, nóng, đỏ, hoặc
CRP	623	SPELL				Các xét nghiệm cần thiết có thể bao gồm**: - Xét nghiệm máu tổng quát, CRP - Xét nghiệm lao (nếu cần) - Siêu âm hạch để đánh giá đặc điểm **3.
NGUY	595	LOWERCASE	nguy			Theo em, em muốn chọn lựa chọn nào?** Trước khi em quyết định, tôi cần chia sẻ **dấu hiệu NGUY HIỂM** cần đưa bé đến bệnh viện ngay lập tức: - Sốt cao trên 39°C
IVF	589	SPELL				- **Thụ tinh nhân tạo (IVF):** Nếu lạc nội mạc nặng, IVF là giải pháp hiệu quả cao.
PHASE	578	STRIP				Phase: GATHERING INFORMATION (Turn 5) - Moving to PHASE 3: PROVIDING STRUCTURE Patient Age: 62 Objective: Summarize findings, provide education using Ask-Tell-A
T3	537	SPELL				hiếu máu, nhiễm trùng - Đường huyết: loại trừ đái tháo đường - Chức năng tuyến giáp (TSH, T3, T4): kiểm tra rối loạn tuyến giáp - Các chỉ số viêm: CRP, tốc độ m
OPQRST	526	STRIP				Đã khai thác đủ OPQRST, Red Flags, PMH, Medications, Social History, ROS, và FIFE.
EMG	524	SPELL				bác sĩ chuyên khoa thần kinh hoặc cơ xương khớp để được chẩn đoán chính xác bằng điện cơ (EMG) nếu cần.
BV	517	EXPAND	bệnh viện			**Ưu tiên hàng đầu**: Ho tất cả thủ tục để bé được nhập viện sớm tại BV Ung bướu Hà Nội 2.
